iter	Passed	Remaining
416	2496	3490
417	2498	3478
418	2500	3467
419	2502	3455
420	2504	3443
421	2505	3432
422	2507	3420
423	2512	3412
424	2515	3402
425	2524	3401
426	2526	3390
427	2528	3379
428	2532	3370
429	2539	3366
430	2545	3360
431	2547	3349
432	2556	3347
433	2560	3338
434	2563	3329
435	2565	3319
436	2569	3310
437	2572	3301
438	2584	3302
439	2592	3299
440	2610	3308
441	2615	3301
442	2617	3291
443	2621	3283
444	2623	3272
445	2626	3262
446	2630	3254
447	2633	3244
448	2640	3239
449	2643	3231
450	2646	3221
451	2649	3211
452	2656	3208
453	2659	3198
454	2662	3189
455	2664	3179
456	2670	3172
457	2673	3163
458	2675	3153
459	2677	3143
460	2681	3135
461	2688	3130
462	2691	3122
463	2694	3112
464	2696	3102
465	2703	3097
466	2705	3087
467	2708	3078
468	2710	3068
469	2717	3064
470	2719	3054
471	2722	3044
472	2724	3035
473	2726	3025
474	2734	3022
475	2737	3013
476	2739	3003
477	2742	2994
478	2751	2992
479	2758	2987
480	2767	2985
481	2770	2977
482	2773	2969
483	2784	2968
484	2789	2962
485	2799	2960
486	2802	2951
487	2804	2942
488	2806	2933
489	2813	2928
490	2815	2918
491	2817	2909
492	2820	2900
493	2822	2891
494	2847	2904
495	2849	2895
496	2851	2885
497	2855	2877
498	2857	2868
499	2860	2860
500	2863	2851
501	2865	2842
502	2866	2832
503	2872	2826
504	2874	2817
505	2876	2808
506	2878	2798
507	2880	2789
508	2885	2783
509	2887	2774
510	2889	2765
511	2892	2756
512	2894	2747
513	2896	2738
514	2903	2734
515	2906	2726
516	2909	2717
517	2912	2709
518	2919	2705
519	2921	2696
520	2923	2687
521	2927	2680
522	2933	2675
523	2937	2668
524	2944	2663
525	2946	2654
526	2948	2645
527	2950	2637
528	2951	2628
529	2953	2619
530	2959	2614
531	2962	2606
532	2966	2598
533	2968	2590
534	2970	2581
535	2974	2574
536	2976	2566
537	2978	2557
538	2986	2554
539	2988	2545
540	2991	2538
541	2993	2529
542	2995	2521
543	3003	2517
544	3005	2509
545	3008	2501
546	3016	2498
547	3019	2490
548	3021	2482
549	3023	2473
550	3024	2464
551	3026	2456
552	3032	2451
553	3034	2442
554	3036	2434
555	3037	2425
556	3039	2417
557	3042	2409
558	3047	2404
559	3049	2396
560	3052	2388
561	3054	2380
562	3056	2372
563	3064	2368
564	3071	2364
565	3073	2356
566	3079	2352
567	3081	2343
568	3084	2336
569	3086	2328
570	3088	2320
571	3094	2315
572	3096	2307
573	3099	2299
574	3101	2292
575	3103	2284
576	3109	2279
577	3112	2272
578	3115	2265
579	3117	2257
580	3125	2253
581	3127	2246
582	3129	2238
583	3131	2230
584	3137	2225
585	3139	2218
586	3141	2210
587	3143	2202
588	3145	2195
589	3147	2187
590	3153	2182
591	3156	2175
592	3158	2167
593	3160	2160
594	3161	2152
595	3164	2144
596	3170	2140
597	3172	2132
598	3174	2125
599	3176	2117
600	3177	2109
601	3179	2102
602	3181	2094
603	3183	2087
604	3186	2080
605	3188	2073
606	3191	2066
607	3196	2061
608	3199	2054
609	3202	2047
610	3207	2041
611	3214	2038
612	3220	2033
613	3229	2030
614	3233	2024
615	3236	2017
616	3238	2010
617	3243	2004
618	3244	1997
619	3246	1989
620	3248	1982
621	3250	1975
622	3252	1968
623	3254	1960
624	3259	1955
625	3262	1948
626	3263	1941
627	3265	1934
628	3267	1927
629	3269	1920
630	3275	1915
631	3277	1908
632	3279	1901
633	3281	1894
634	3282	1886
635	3284	1880
636	3292	1876
637	3295	1869
638	3301	1864
639	3308	1860
640	3309	1853
641	3312	1846
642	3314	1840
643	3315	1832
644	3320	1827
645	3322	1820
646	3324	1813
647	3326	1807
648	3328	1800
649	3330	1793
650	3336	1788
651	3337	1781
652	3339	1774
653	3341	1768
654	3344	1761
655	3345	1754
656	3352	1750
657	3354	1743
658	3356	1736
659	3357	1729
660	3360	1723
661	3362	1716
662	3364	1709
663	3366	1703
664	3368	1697
665	3370	1690
666	3373	1684
667	3379	1679
668	3381	1673
669	3384	1666
670	3389	1661
671	3397	1658
672	3400	1652
673	3411	1649
674	3419	1646
675	3427	1642
676	3429	1636
677	3432	1629
678	3433	1623
679	3435	1616
680	3441	1612
681	3444	1605
682	3446	1599
683	3448	1593
684	3450	1586
685	3456	1582
686	3458	1575
687	3460	1569
688	3462	1562
689	3464	1556
690	3466	1550
691	3471	1545
692	3475	1539
693	3478	1533
694	3481	1527
695	3484	1521
696	3490	1517
697	3492	1511
698	3496	1505
699	3498	1499
700	3506	1495
701	3508	1489
702	3510	1483
703	3513	1477
704	3630	1519
705	3633	1513
706	3639	1508
707	3644	1503
708	3647	1497
709	3655	1493
710	3658	1487
711	3661	1481
712	3664	1475
713	3673	1471
714	3676	1465
715	3679	1459
716	3806	1502
717	3809	1496
718	3812	1490
719	3814	1483
720	3820	1478
721	3822	1471
722	3831	1467
723	3833	1461
724	3848	1459
725	3851	1453
726	3853	1447
727	3856	1440
728	3858	1434
729	3989	1475
730	3991	1468
731	3998	1463
732	4001	1457
733	4004	1451
734	4007	1444
735	4012	1439
736	4016	1433
737	4020	1427
738	4027	1422
739	4029	1415
740	4032	1409
